,data,index,Brand,TOTAL DIGITAL AUDIENCE,PC,MOBILE,"TOTAL DIGITAL AUDIENCE 
(.000)","PC
(.000)","MOBILE
(.000)",TOTAL DIGITAL AUDIENCE (mm:ss),"PC 
(mm:ss)",MOBILE (mm:ss),TDA,TDA.2,PC.2,MOBILE.2,TDA.4,PC.4,MOBILE.4,COMPUTER,TABLET,SMARTPHONE,COMPUTER.2,TABLET.2,SMARTPHONE.2,COMPUTER.4,TABLET.4,SMARTPHONE.4
0,2015-1-01,1135,Vanityfair.it                                     ,115634.0,70868.0,44854.0,462.0,297.0,166.0,  03:06,  02:45,  03:39,,,,,,,,,,,,,,,,
1,2015-2-01,1128,Vanityfair.it                                     ,,85853.0,73306.0,,,,,,,158455.0,553.0,317.0,236.0,  02:44,  02:43,  02:44,,,,,,,,,
2,2015-3-01,1133,Vanityfair.it                                                                                       ,,94106.0,51572.0,,,,,,,145485.0,474.0,293.0,181.0,  02:39,  02:35,  02:47,,,,,,,,,
3,2015-4-01,1129,Vanityfair.it                                                                                       ,,81277.0,43055.0,,,,,,,124078.0,397.0,263.0,134.0,  02:46,  02:47,  02:44,,,,,,,,,
4,2015-5-01,1105,Vanityfair.it                                                                                       ,,88588.0,48298.0,,,,,,,136751.0,424.0,264.0,160.0,  02:44,  02:45,  02:41,,,,,,,,,
5,2015-6-01,1116,Vanityfair.it                                                                                       ,,85119.0,36851.0,,,,,,,121881.0,358.0,253.0,105.0,  02:29,  02:25,  02:37,,,,,,,,,
6,2015-7-01,1111,Vanityfair.it                                                                                       ,,80254.0,41281.0,,,,,,,121421.0,452.0,264.0,188.0,  03:13,  03:06,  03:24,,,,,,,,,
7,2015-8-01,1109,Vanityfair.it                                                                                       ,,46120.0,44227.0,,,,,,,90177.0,332.0,182.0,150.0,  03:00,  03:02,  02:56,,,,,,,,,
8,2015-9-01,1117,Vanityfair.it                                                                                       ,,69827.0,47327.0,,,,,,,116825.0,404.0,268.0,136.0,  03:12,  03:26,  02:51,,,,,,,,,
9,2015-10-01,1120,Vanityfair.it                                                                                       ,,92842.0,54477.0,,,,,,,146979.0,424.0,272.0,152.0,  03:10,  03:22,  02:48,,,,,,,,,
10,2015-11-01,1105,Vanityfair.it                                                                                       ,,95045.0,61010.0,,,,,,,155930.0,416.0,250.0,167.0,  02:56,  02:52,  03:02,,,,,,,,,
11,2015-12-01,1092,Vanityfair.it                                                                                       ,,73744.0,49829.0,,,,,,,123478.0,300.0,173.0,126.0,  03:20,  03:31,  03:04,,,,,,,,,
12,2016-1-01,1060,Vanityfair.it                                                                                       ,,77052.0,51931.0,,,,,,,128770.0,357.0,223.0,134.0,  03:00,  02:51,  03:13,,,,,,,,,
13,2016-2-01,1117,Vanityfair.it                                                                                       ,,65270.0,62329.0,,,,,,,127566.0,305.0,166.0,139.0,  02:40,  02:43,  02:37,,,,,,,,,
14,2016-3-01,1143,Vanityfair.it                                                                                       ,,69833.0,55503.0,,,,,,,125211.0,304.0,187.0,117.0,  02:40,  02:45,  02:34,,,,,,,,,
15,2016-4-01,1142,Vanityfair.it                                                                                       ,,55885.0,51809.0,,,,,,,107479.0,295.0,179.0,116.0,  02:59,  03:12,  02:43,,,,,,,,,
16,2016-5-01,1177,Vanityfair.it                                                                                       ,,62970.0,47702.0,,,,,,,110431.0,275.0,181.0,94.0,  02:39,  03:05,  02:04,,,,,,,,,
17,2016-6-01,1157,Vanityfair.it                                                                                       ,,51051.0,46459.0,,,,,,,97405.0,296.0,167.0,129.0,  03:27,  04:36,  02:11,,,,,,,,,
18,2016-7-01,1174,Vanityfair.it                                                                                       ,,52967.0,51863.0,,,,,,,104751.0,316.0,162.0,154.0,  02:36,  02:56,  02:16,,,,,,,,,
