,data,index,Brand,TOTAL DIGITAL AUDIENCE,PC,MOBILE,"TOTAL DIGITAL AUDIENCE 
(.000)","PC
(.000)","MOBILE
(.000)",TOTAL DIGITAL AUDIENCE (mm:ss),"PC 
(mm:ss)",MOBILE (mm:ss),TDA,TDA.2,PC.2,MOBILE.2,TDA.4,PC.4,MOBILE.4
0,2015-1-01,360,Giallozafferano.it                                ,750823.0,313075,445008,2895.0,1085.0,1810.0,  04:22,  03:58,  04:35,,,,,,,
1,2015-2-01,314,Giallozafferano.it                                ,,336294,495729,,,,,,,823766.0,3489.0,1270.0,2219.0,  04:20,  04:10,  04:24
2,2015-3-01,327,Giallozafferano.it                                                                                  ,,298763,443448,,,,,,,736273.0,3007.0,1091.0,1916.0,  04:04,  03:52,  04:09
3,2015-4-01,323,Giallozafferano.it                                                                                  ,,260836,407681,,,,,,,663810.0,2585.0,903.0,1682.0,  04:02,  03:44,  04:11
4,2015-5-01,324,Giallozafferano.it                                                                                  ,,219422,342314,,,,,,,558158.0,2037.0,743.0,1294.0,  03:50,  03:32,  03:59
5,2015-6-01,330,Giallozafferano.it                                                                                  ,,212823,314646,,,,,,,523362.0,1943.0,711.0,1232.0,  03:32,  03:22,  03:36
6,2015-7-01,322,Giallozafferano.it                                                                                  ,,199947,291869,,,,,,,488415.0,1701.0,648.0,1053.0,  03:43,  03:28,  03:51
7,2015-8-01,324,Giallozafferano.it                                                                                  ,,181893,342459,,,,,,,520900.0,2102.0,694.0,1408.0,  04:06,  03:46,  04:14
8,2015-9-01,326,Giallozafferano.it                                                                                  ,,253330,404791,,,,,,,653422.0,2615.0,956.0,1659.0,  04:13,  03:36,  04:34
9,2015-10-01,326,Giallozafferano.it                                                                                  ,,308621,453674,,,,,,,755161.0,3469.0,1295.0,2174.0,  04:32,  04:14,  04:40
10,2015-11-01,324,Giallozafferano.it                                                                                  ,,303167,481184,,,,,,,777377.0,3482.0,1327.0,2156.0,  04:09,  03:45,  04:21
11,2015-12-01,312,Giallozafferano.it                                                                                  ,,305109,481860,,,,,,,780741.0,3333.0,1277.0,2056.0,  04:22,  03:42,  04:43
12,2016-1-01,289,Giallozafferano.it                                                                                  ,,251114,486637,,,,,,,730955.0,2617.0,846.0,1771.0,  03:59,  03:37,  04:07
13,2016-2-01,313,Giallozafferano.it                                                                                  ,,266531,502477,,,,,,,761964.0,3126.0,1042.0,2084.0,  04:08,  03:54,  04:12
14,2016-3-01,333,Giallozafferano.it                                                                                  ,,242254,465874,,,,,,,702277.0,2739.0,924.0,1815.0,  04:03,  03:40,  04:12
15,2016-4-01,329,Giallozafferano.it                                                                                  ,,196282,361717,,,,,,,554768.0,2172.0,820.0,1352.0,  03:54,  04:10,  03:43
16,2016-5-01,348,Giallozafferano.it                                                                                  ,,193507,361413,,,,,,,551632.0,1964.0,725.0,1239.0,  03:44,  03:52,  03:38
17,2016-6-01,337,Giallozafferano.it                                                                                  ,,159819,327965,,,,,,,484720.0,1720.0,577.0,1143.0,  03:30,  04:01,  03:13
18,2016-7-01,345,Giallozafferano.it                                                                                  ,,160758,326294,,,,,,,483712.0,1754.0,601.0,1153.0,  03:36,  03:56,  03:24
